attending_count,id,interested_count,maybe_count,noreply_count,start_time,contacts
2,1049001901858430,7,7,37,2016-12-07T18:00:00+0100,53
6,359167774207387,9,9,10,2016-11-16T17:30:00+0100,34
13,182327392192832,24,24,48,2016-11-05T09:00:00+0100,109
3,479725775544024,10,10,39,2016-11-02T18:00:00+0100,62
0,194835100931896,4,4,0,2016-10-31T12:30:00+0100,8
17,187712261654902,22,22,118,2016-10-30T23:30:00+0100,179
0,287134198322189,2,2,1,2016-10-17T19:30:00+0200,5
39,305836453126372,180,180,469,2016-10-06T19:00:00+0200,868
18,1251092914930452,38,38,230,2016-10-06T19:00:00+0200,324
3,1548648078764270,14,14,36,2016-10-05T18:00:00+0200,67
4,307300419662291,9,9,37,2016-10-04T20:00:00+0100,59
0,283082955387268,3,3,0,2016-10-03T12:30:00+0200,6
7,859496294181498,34,34,82,2016-10-01T11:00:00+0200,157
12,1665001027108228,54,54,48,2016-09-28T19:00:00+0200,168
4,1778266025792549,9,9,116,2016-09-27T17:30:00+0100,138
44,547704305425108,62,62,235,2016-09-27T09:00:00+0000,403
11,1739297149667877,59,59,72,2016-09-22T20:00:00+0200,201
11,162448484198935,14,14,43,2016-09-22T18:45:00+0200,82
8,1756509584602638,4,4,2,2016-09-21T19:30:00+0200,18
15,616516445170772,21,21,6,2016-09-21T18:30:00+0200,63
20,104816206646887,6,6,36,2016-09-20T16:30:00+0000,68
9,950357051759889,10,10,230,2016-09-19T16:30:00+0000,259
3,874566856008428,18,18,101,2016-09-18T14:00:00+0200,140
65,1239813012715911,90,90,493,2016-09-17T16:30:00+0200,738
13,183887485377347,26,26,137,2016-09-15T18:30:00+0100,202
7,682340948585623,28,28,48,2016-09-15T19:00:00+0200,111
9,300950460262694,35,35,75,2016-09-15T18:30:00+0200,154
6,2120958644796738,7,7,25,2016-09-14T19:30:00+0200,45
62,583013211899997,214,214,134,2016-09-14T19:30:00+0200,624
9,1834277106791745,26,26,54,2016-09-14T19:30:00+0200,115
3,1856462914581496,13,13,3,2016-09-13T19:30:00+0200,32
25,1865374983690625,64,64,16,2016-09-13T19:30:00+0200,169
7,1675790056075807,10,10,13,2016-09-13T16:30:00+0200,40
12,308370912851331,40,40,55,2016-09-10T16:00:00+0200,147
40,275574442827080,42,42,280,2016-09-09T19:00:00+0200,404
24,1644201012561404,65,65,66,2016-09-09T18:00:00+0200,220
5,734859286652487,13,13,15,2016-09-09T14:30:00+0200,46
7,194912560921932,19,19,28,2016-09-09T10:00:00+0200,73
17,1183659321692495,32,32,295,2016-09-08T19:30:00+0200,376
22,1577870929185458,58,58,16,2016-09-08T19:00:00+0200,154
30,1079705112112883,86,86,578,2016-09-07T19:30:00+0100,780
5,872190269552226,14,14,34,2016-09-07T18:00:00+0200,67
8,1079138318822348,35,35,101,2016-09-06T19:00:00+0200,179
19,657120987769730,41,41,110,2016-09-06T19:00:00+0200,211
7,854171451349823,11,11,0,2016-09-05T19:30:00+0200,29
30,608415702663381,59,59,633,2016-09-03T17:00:00+0000,781
42,152336075199115,121,121,563,2016-09-03T09:00:00+0100,847
2,163791327358593,8,8,341,2016-09-02T18:00:00+0200,359
33,1764403363817892,80,80,185,2016-09-01T19:00:00+0200,378
6,1245718132139553,21,21,290,2016-08-31T18:30:00+0200,338
74,1832640920298537,218,218,319,2016-08-30T19:00:00+0200,829
22,1798544357031353,57,57,33,2016-08-29T19:30:00+0200,169
17,319839805030477,56,56,269,2016-08-27T14:00:00-0500,398
56,316583118687622,155,155,259,2016-08-27T18:00:00+0800,625
6,1185162104839506,8,8,13,2016-08-25T17:00:00+0000,35
25,1768736526677870,27,27,375,2016-08-25T17:00:00+0300,454
16,1758561764359105,45,45,7,2016-08-22T12:30:00+0200,113
9,1082022308500634,5,5,66,2016-08-19T19:30:00-0700,85
23,1202729509779984,55,55,1000,2016-08-19T13:00:00+0300,1133
9,1736918229897027,9,9,94,2016-08-18T18:00:00+1000,121
2,1570818239890971,8,8,285,2016-08-13T15:00:00+0200,303
6,524839954375861,19,19,314,2016-08-11T19:00:00+0300,358
35,183909705359594,58,58,81,2016-08-10T20:00:00+0200,232
16,1223688664319588,31,31,200,2016-08-10T18:45:00+0100,278
123,606107112899794,192,192,170,2016-08-10T13:45:00+0700,677
9,1118078361600933,46,46,373,2016-08-05T18:00:00+0200,474
15,1577882762507942,16,16,28,2016-08-04T19:00:00-0500,75
10,653089184846097,15,15,20,2016-08-04T18:30:00-0500,60
6,1603599666603764,26,26,213,2016-08-03T19:30:00+0200,271
13,907987936011445,23,23,14,2016-08-03T13:00:00+0200,73
7,1824059781160370,4,4,38,2016-08-02T20:20:00+0200,53
4,1183249755029628,5,5,61,2016-08-02T19:00:00+0200,75
8,1773175699565482,7,7,19,2016-08-01T19:00:00+0100,41
42,812534372212814,57,57,397,2016-07-31T13:00:00+0530,553
71,544877292382018,64,64,614,2016-07-29T19:00:00+0200,813
20,1668626403457847,1,1,45,2016-07-29T14:00:00+0200,67
179,1012111825539009,346,346,1717,2016-07-29T14:00:00+0200,2588
35,1658851914435934,35,35,149,2016-07-28T18:00:00+0000,254
12,1805943129642106,22,22,308,2016-07-28T17:00:00+0300,364
25,1012022018847022,28,28,114,2016-07-27T19:00:00+0100,195
20,634053750092913,40,40,241,2016-07-26T19:00:00+0200,341
8,1737427819863259,29,29,57,2016-07-26T17:00:00+0200,123
23,1562678744034058,54,54,88,2016-07-25T19:00:00+0200,219
11,217338378661628,10,10,327,2016-07-23T18:00:00+0300,358
7,1714436065439902,19,19,46,2016-07-23T14:00:00+0200,91
8,1060551497371480,14,14,43,2016-07-23T14:00:00+0700,79
12,1735791030024487,33,33,177,2016-07-22T19:00:00-0500,255
19,924986264295404,36,36,369,2016-07-21T18:30:00+0300,460
17,892954644166903,21,21,201,2016-07-20T18:30:00+0100,260
7,1735294596690511,32,32,401,2016-07-20T18:30:00+0200,472
3,1818169168321972,30,30,3,2016-07-18T14:00:00+0200,66
11,127920394307091,10,10,32,2016-07-14T09:30:00-0300,63
19,1736553756617878,50,50,145,2016-07-13T19:00:00+0200,264
3,808852315915971,16,16,20,2016-07-13T18:30:00+0200,55
15,1076529985774258,16,16,10,2016-07-12T19:00:00+0100,57
43,1043965562306266,102,102,255,2016-07-12T18:15:00+0200,502
4,119443468486595,12,12,49,2016-07-12T18:00:00+0200,77
27,148072905598678,126,126,9,2016-07-11T19:30:00+0200,288
13,1023073161104483,28,28,32,2016-07-11T19:30:00+0200,101
9,835498816582566,25,25,146,2016-07-11T19:00:00+0200,205
10,1735045410099883,33,33,97,2016-07-09T11:00:00+0200,173
222,1679899755606182,711,711,1262,2016-07-09T09:00:00+0200,2906
27,1770956919794369,82,82,30,2016-07-06T13:00:00+0200,221
15,567202053452180,17,17,91,2016-07-05T19:00:00+0200,140
8,295008370847287,7,7,51,2016-07-04T19:30:00+0200,73
14,672456712910193,24,24,274,2016-07-04T18:30:00+0200,336
9,1731004833814615,29,29,300,2016-07-02T14:00:00+0200,367
10,1029349647140762,22,22,107,2016-07-02T14:00:00+0700,161
4,1197203726996594,11,11,49,2016-07-01T16:00:00+0700,75
17,540682422806283,31,31,133,2016-06-30T18:30:00-0300,212
1313,816308138499731,4862,4862,4671,2016-06-30T09:00:00+0200,15708
28,834438746689740,50,50,209,2016-06-29T19:00:00+0200,337
16,982572378524281,26,26,145,2016-06-29T19:00:00+0200,213
11,816479788483629,50,50,50,2016-06-28T19:00:00+0200,161
12,1038074412924417,24,24,33,2016-06-28T18:00:00+0200,93
14,1026570237420988,47,47,341,2016-06-28T17:00:00+0300,449
14,1618050665179883,36,36,19,2016-06-27T19:30:00+0200,105
300,1639908726330420,658,658,1747,2016-06-24T19:30:00-0500,3363
111,522182747974496,293,293,927,2016-06-24T19:00:00+0200,1624
82,1558400411130386,64,64,230,2016-06-23T19:00:00-0500,440
10,261884734172577,23,23,80,2016-06-23T20:00:00-0300,136
5,1752496101698516,11,11,64,2016-06-23T19:00:00+0200,91
24,909617825809040,76,76,76,2016-06-22T18:00:00+0000,252
16,1712036589044983,47,47,304,2016-06-22T19:30:00+0200,414
11,584750845040706,18,18,156,2016-06-21T18:15:00-0500,203
17,1686851888222770,99,99,426,2016-06-21T19:30:00+0100,641
40,273686673019488,99,99,38,2016-06-20T19:30:00+0200,276
3,1059106874157805,10,10,48,2016-06-20T18:00:00+0200,71
21,509136689233282,51,51,117,2016-06-19T17:00:00+0200,240
10,1128924867171726,38,38,118,2016-06-19T16:00:00+0200,204
10,361242630666819,22,22,120,2016-06-19T15:30:00+0200,174
7,618680131647770,22,22,3,2016-06-19T14:00:00+0200,54
493,1401949360104337,1466,1466,3585,2016-06-19T11:00:00+0200,7010
7,202853076777824,13,13,61,2016-06-18T14:00:00-0500,94
19,136460273440988,38,38,266,2016-06-18T16:00:00-0300,361
17,623178717845161,60,60,378,2016-06-18T12:00:00-0500,515
49,242115086180393,68,68,298,2016-06-18T09:45:00+0100,483
15,1747341328820809,23,23,49,2016-06-18T14:30:00+0700,110
81,1589885674636993,384,384,406,2016-06-18T09:00:00+0200,1255
47,161898704212602,61,61,243,2016-06-16T20:00:00+0200,412
48,1742405772710096,80,80,621,2016-06-16T19:30:00+0200,829
11,600942370068116,21,21,306,2016-06-16T16:00:00+0300,359
6,251294138579954,28,28,439,2016-06-15T11:30:00+0200,501
10,1607788136178165,29,29,348,2016-06-14T18:30:00-0500,416
6,500941540107676,24,24,12,2016-06-14T17:30:00+0200,66
16,473299946193985,72,72,16,2016-06-13T20:00:00+0200,176
10,1722154188059810,33,33,16,2016-06-13T19:00:00+0200,92
6,223013434758485,17,17,42,2016-06-13T20:00:00+0800,82
147,1706239606282561,357,357,2084,2016-06-11T09:00:00-0300,2945
284,1074209669311160,1368,1368,657,2016-06-11T10:00:00+0200,3677
15,244724675901607,18,18,93,2016-06-10T19:00:00-0300,144
18,488849974643081,50,50,5,2016-06-10T13:00:00+0200,123
2,1919459304947274,13,13,48,2016-06-10T09:30:00+0700,76
14,713767335428969,10,10,155,2016-06-09T17:30:00-0300,189
